owner,balance,symbol
CrV6VH7qmvxzaQeHBJ7dm4V9PMneQXCLGaavhyEx7rVR,6233083009,BONKFA
ge2FwPFic9HtLGXPxnPnxiVk8hKGyWpZ7anBHL8gFka,4216534176,BONKFA
2rwYQogFbm94RqoWNtBYdvsVTPZ8cNE4emC87n3cxBbs,77506215,BONKFA
6R3pAMRavNLJjPBMwVHvaxtRVCX5Lc9WyixcQEP6hRu3,101000000,BONKFA
EExsQNAao5NSbQUiv6i9jDY175m3FW72JD1Re8rZ9jqN,420690000,BONKFA
3AQRwaE4hfaSqJUKMUXWxPTioTrVkBSnNpUTqvtf1NYf,117586485,BONKFA
vwhSHzxuo49oM6KX6Gkhz2tguUJVP99iUKCE1vVtXdi,420690000,BONKFA
9d32WNLuAKBGhcgudmRRFQsXdKwGtgHCS7NZpvqWDGW3,113000000,BONKFA
HwXmnfjBCNoeeE5x8JPy6yWWe7nAbvmqM5R9w4r7Ld75,88000000,BONKFA
6hZWUSyw85aSj7JVwsLwPkg1G1xqXVqbRUu5L2FYPQfR,100000000,BONKFA
4WUsZnPsKiMWCKKqUwZjBuWYXc9hSew2NWiW2Vxz1Fc8,865945875982,BONKFA
6cakJkhgPFQEzzHpWNFDkMeovegdVTP4UDWQvUtoYEHq,200000000000,BONKFA
2UnruyoXrheZRxg1M8SGxQv4GRN926rL6Fe1QoTFSEGz,22500000,BONKFA
38LBUaT7gyn5L4eaTbkbLAcygc6iLXpNtppSyQhzyZZY,282500000,BONKFA
7S1veKRaYWSMK3WjhN4H887jeGxGRS6poqmHXA4FqviC,1436000000,BONKFA
FUocxvqYJ5R6NdbTVRvG1ek28nrNskpqL8f6fcC27zcV,88546827,BONKFA
E6L3WfBKDb7YxxbgE5mJnT7PDRv4vziJNicr8rtabUTN,69321069,BONKFA
AVJpbHMD7CWp4GzBHPprXSat65C79fbYqwwKW9gT1Zv2,25000000000,BONKFA
62yiTtdKxMqzhuhqTgwCgSQwfA9L4vxgUbzQkoZdQjo8,117586485,BONKFA
3nByEJLGmGkYKNrEkCotETnmDewoPweH1wUjhJ3N82jR,77506215,BONKFA
8Upqv5sKWFS5pV3NHQq3Hfuy3dyo6dWLVcwrsZB6xSha,420690000,BONKFA
3o1Jqb6jZskd3Sn9WZLqYqYesoebadmC7gWGiXZECyPi,101000000,BONKFA
FYee7L5LxnQDfdpM4QAnfcEDJo5mgkEneCXYAqtLxvLV,420690000,BONKFA
14psK6WQCvKn4yDrDZZaJBynT5Ri7u53VQL6jSt4X31D,77506215,BONKFA
GM4UPhkM51URjXRkSbBTV5DaNsPxNZq8KaJab2Fg5xS1,101363516,BONKFA
A1zT1erK571ifWwBavvhh8kKcrFmTRgfBRdU5hUPRVXR,420690000,BONKFA
8qt1shWAisPJocWm4p3ZHQNg2HFKyRbQcE4Ug9kxEtCV,420690000,BONKFA
7obT4HvUmQf9nDHnW4FqW6aTxZSeHEQmXWyeZhuN5wZM,1016160029,BONKFA
4hPgHhh5yLFTU15xPcPymC9oJSJGwfVjgj77TZTX7PXK,23483054099,BONKFA
ESmmVwg22Wpk5okP2BfNhkvc2a9S57cXKy9WgF5Y4Ya8,182231471,BONKFA
C4BPbEDahejQiiGQwWTb1iDw8x5ZfRKY3hqhEMU8jyfX,1272634063,BONKFA
AphDL1gf3YAGo1EmCTk7zeHMty1uSjEd6gZ3BgMqtzf9,21358739048,BONKFA
FtDtWVXDrzgkpNLFHhHKC2LUBiFUzFUBzipaoQZLmq58,118857661,BONKFA
69UcDZEMqyyKqUQg6jDzEqvMkxKsF9x22VsSFWHUQXuG,117586485,BONKFA
BgVaZsyPk9G2ApfpBeFC23EJSE2HLZ2Y5SAnAsiC94Ra,123489554,BONKFA
4DjnKwiFkELNee7ZAbMoSahy6MD5ezoRfqbMxKNkSXzS,420690000,BONKFA
7mi1L2sE3LmmkWdkUUPFY13JGguGYWkoQtrZfD57cfUs,4808762583,BONKFA
8au2rou3qaghRvFnfkVMbhwhi7v8hKEkVBEX5nZV9aEw,77506215,BONKFA
GCCKXqr6jRG385vHUUw8ZNWepicn7KNhUMcJR2birjdP,102956564,BONKFA
HVaZamsjGfzgJ97oYp8N64ddSQb7FwzYoTaNmfagrjHz,330536929876,BONKFA
FSVRKg3ztEMGTTY1GwiQxozbxDgjmhT8aarDAdYHn8Qb,420690000,BONKFA
HfiyyEfXnh2EfyrL5Am2mSzc2c6sMMyQVCACBBsE7nzJ,66124303687,BONKFA
Hw98svmLT8YFMo2mXDpuTtph9DCLzSoyWTcZeDv54VPi,102053654,BONKFA
AG4CvvFkbQggnY3t7RW4jqt3QHjhXXMSuSA95dU5YBs3,102594320,BONKFA
A5METekcVZzFzzH6gtWmJjYnjoPrP856HKhVCyh8F7E4,69321069,BONKFA
Hmzfbwfbv9fvm9vaMrKq9fxFeee1FUSA4sCLEb1pe2DM,10870023160,BONKFA
fqQkj2JXjwBVGXoWLsARrEJm3vPuxckNo5s3PPVWGZj,1084788279,BONKFA
B8gDquVXjrCtG3GhLXtpBppPGWpiktPmBdjWTZCHAiZo,100000000000,BONKFA
AGr6sWdtJAavnS99L2dZ3m3w9hXDeptP1vui2PdLVGFe,88546827,BONKFA
3LBWRZXbMw67fRcpj6CJAHrpvXPHQPojDq1CombEUGfB,136562082602,BONKFA
3rtWx6xSjnMJnXGSwGf2ckRhSQp1c3K8YjRzA5Yn9cxU,10957209584,BONKFA
G9PGPuZVAXzGfCyy5ftmVhFMTy8hoGFbPxWT9oJYnTpg,77506215,BONKFA
6PsC8iQomy27YJgLJeJ8oUi4b2mGbbnJrjBevANo1KNz,1,BONKFA
6czpTnYyrkxNUcHT8n1DudmMWAwVUzXcJje32QHB8bGy,88546827,BONKFA
KmYQxgu76zGrSReNagVjx3pQCgbXML8mJc7qNJsZDUJ,88546827,BONKFA
5UrkUZPDobXY6KJcPBbb3i3nVK5c1njce2PBvPZ6Y7VH,213000000,BONKFA
