owner,Sensei
2SpXx1zV3yewgaWJEn6Y3yPCi5M78vGVSxwnTJb7ejm2,1
EPjUYr3uojzV42afUfHv56V8dZSuR286em8Vjgm3vRtC,14
EBi1RF2oFCVsgBmEnAPp1D2DMpm4RngK68SCkqUmw8bG,4
3BWmwrUnWzgTVwTSXAw3u8Dg5X9V2y6NMVyhJD9pzBFZ,2
Hz8faLyYBmfmzgvkaNTxTdThQGBVsR3PZfeUoZBtNySs,1
d7q7rTMeZQJcydmttUcH5n8U3tMY8gXM6DJkvnMugn6,1
J969WFi4U5N48ig46DZmBMcTthUueh5JpGCCAvRkePTv,1
5P2NAiHH5x8XkTvbNqLZFjX6JBHKaEsckep9vWug7VyB,2
4fhhCU8znhghbePJ1597SeULjNjWCTMVGDZYwhru1TCA,4
4H5HVnT4DPmvcKEeNnAJgZfY2Q6PkMqYjS4u2WT3hMjM,3
kaXUThF9qWrj4ppk4pmgTynzGgGcJEkFEhvoB4Y9N8V,2
DxDc3FH2sVZ6TSEfeVLkpAxWayz88hDHUFmQPf31XAfe,1
CumPXPwLCsZc2z5VJiLnb92AwJqTTSfB8DqEU4LtqG9F,1
BHWbTd4j1usPVaXHWF3xaZJH5TpcnitBgoeZKai2EoxK,2
GAaSRKt1awE5eXQwNoNYMBkKNCYsTM4xLCfXPSQXmBQS,1
2DHULZABMJGfpyWJU8Eut88A1UCyBZ6SdwbDN1vf4G3j,1
95dhdpJQbbqx3kihY9DL2p29UVvp8A1YK8Hh3NZLizXS,2
GGDDDvu4AMTY7aF4k4q2KYTRPsNMBtxvb8uR5zxo3Fjt,1
HzJTj63hNivTYkPYCRjkBgZHRtycTs6wywHf1hkoF2ry,1
7f32xTzPkH98KjrV33Y9GfMxTfNimvVzB1iEs9diHSU9,1
3zAyB1F2RjvaUpYcVNJWFzts3F9c4fumLyKSgB4T1bTY,2
2EJY8AWhvPCHvJd5ceaPwhNrw2bg4oBg6chy4esBmBX3,4
2vFs6q7EhKSCrJ3EMEhnUE9rrmctqSCPWkygC47hTG7Q,9
DdTFUM7kT76PkqFkDVxTTcp9nJ7v616uQx6ygJeBTKTo,17
CFXtYfVark2gJ7dm4zVQXKufQWKXnDdgBtvnyTTaRcV3,2
8ow3SpPDVVgchvpm15ynwW4Y8vGK1BhGvfF4eRca3k2A,8
4j5pALtnDXzutd4YmXTFgwmACuRkLoBYkcYsojEgr6Dz,1
7KB5yrG92h4kvthtePz6RYbpWwE9gJvBicHmNqypwiGN,5
7sjMEw3FN5mKndyjrRbRSywwBbYXGvmPNCN118tYXPF9,2
GRowGA1cq9abztLhXJykXoD7sAnxUARQap2sRX2CZgpv,42
FsTjshsTvnnxTyiKNghwxutggBSjuom8zNNt9cd71Psr,3
4KMMoffzUMnQZ1dP8WqPW6PB9L8cDEpVcUDPbhWh7q1t,1
2boFAfkB46ijUhizoAQu4d8BexikScki1vFtVEVnKsXy,7
EbzuqS1eVmxTq6ny67rEcZAdQsQimWDUistmASnspoLw,14
5URAzdRen35oNBUd6BKAyjdadwhAgFDxyx5NkHNm4Tsj,2
24Ds7b3DpMxg26owuxgBHNecHPFpGeSbpmKPp15E16WM,2
63s726VHM53gcp3pw6SLf1pLY615uvWDjz5vL4RDBwk1,3
CJmkXro7WfCAyHcxwqf9ULtiDsVuynF7Pys5M9QmYq6S,6
7bSrmPXYSg73BiDkhoDs7DHRTJ8crhWPHkymVboSkkd4,14
Hze1JSomp9FTDXtmV25n9QAzYQqakpS2BcZKLVs8NAAy,2
CmwTp7UsfqTFgoUQyy1KbNbKtLoqREcTiznRvvmLiWzM,6
DcuoY6NzU7ESNBVzzGURZgZNN4tVj2ycPWvibMG8mvaa,2
CZJpt3KuancYRheRm9C4rFcQavGAe2JzVm5TbSc3yeKB,2
