owner,balance
HzZ2QRySVM3Ds9ypQFKYpQE7c7ETsXW1rbQCSeu7Mqv6,77284951
2kNEzt3JjjEQTFhEdKKNcbFgTdQsvYNWLHsj8d3FibqE,75000000
J7tDUKbtvguuuQHJ4p69nSb8RW6UoK53423KEv5CviM,18380049598
91VB9rMBbvFgwTqf5TF3M8JCj6TwDpfhXbTMw6pqg7sZ,1000000
42uaJBNcgj1UGNCsHXynFqA4Jnay3Xe7Dx1t4yGGperA,208844260
CrjqUCtVYUqChEU8SW8GQ6G4HfPHAoViw78abRNy6erQ,75000000
9UbsYJs7afSR3tWNTVrbmGY9izJvgZJmfFwcjF93moTT,420000000
yUne6Xw3BTLXdVtZ1wpBdanL47HfhHLRA8LEoPae7g7,420000000
7Ufi5t3E7jq77QJzkWzvkAVy6Db8dMiCUq4LujWybpDv,75000000
BN2vN85Q4HiWJL6JejX2ke82fKY7nxnFUBjAWFMC8Wcb,420000000
HwLGmRRDzxMu9RExNfpjuKHn3LuQe3FikBx1pVxVeKMu,1000000
7MSPJwrhXmKGFJ344GhAaLAvqxjTCW7A3VZMx6KcenWg,10236332427
D3yRxCsBFcY8tjNNB75cpRUwS7bdZ5NWgSztELggKJhL,2724025957
2jgnbwtCS8a7BhQBqxvH6o5VryBqLYpgusqYY74LFWM3,75000000
96DYkkEX8TXVzw3qNFDER9V7Jn9DyCuCUucnSqXTVYPA,75000000
Hc9KGAzL4Rfo2YRW5barPNqbc3sQQPm2WpFzL4LAf7BX,75000000
4pHpucXeLsS6KHnk3SfG1gEu2TmPt8dPUKxdTK82mgk8,2500000000
B6BdZFG4DDjjQD8CKvKjmRZzvfuqXHyUCcu3Vf2Kk5z4,4319250582
AugiFGCZqAc2mjbh9xez5QxhKBnjdoHeZDZmkoFaudjz,7402114784
DpDQNsEUMJuxQbqQqQjH42HTaPdNWQKU32admMvrj4CU,75000000
BJTiTMxhf3RYMKkDBn8h7jKyh1FDpydNifsoJSjczcrE,75000000
FSV1cfZy4Wy9fDZ2peh5CZayiA7cq8hfSAbKdR9C9AJX,75000000
9fiGd6AJYHZhBuJNAw5vYrQ5fBjaYLU63hp24Egf8Qap,75000000
DeBG2YaV6qaWaB45hNH9FUjX9jvqZLZXfvmjmsmTZt39,586980348
3JeS4DxxBJ1Xrh8udiuv65huFDtqbKtwTeu8NK7vXKMi,75000000
7rqdJqwpoQmXi53sdQZveCFDZZT9MA4Vg4LYzazWcWY7,75000000
DbMWjNz7TqNFWaDJvmwcyKAd9aL32HeRxuDjyP6C9Csw,75000000
5m2pQMevLWSv2zXaXVEioXSN4DSx1cn8JJGvzAsXAiya,13352838351
J9kw5WtEsJw4bkKz78JAaea1YwQ6THZYLvAQfqAJJXJi,420000000
3MWVzvBKDGiGGtcHhnLdeCqeU6ZpACM6bcZRKkHUGPFH,420000000
4DV6oTv7NDhsEh9scNqjwRMk46Y2iiv8zhW9Nj6bz24c,75000000
3Bf8Dm4vHYJEE3juTVUfjzu8XUT6r7wztYaHL74sQr1T,75000000
75geScDP17ns7iAGdmy9oYBMEi3vQaBAMp238qP7raPA,75000000
6hfRjpmNdfs8C7AARb69nV38pMvu8gJiMtrCGs8ERD7u,420000000
3efM9MMF4zM85juv96uwsLbUSbsJ1w5v5XYvbu7UcrY9,75000000
4TH36nq9G5yvfmqZXHyewvefiKe1SbeY1Fb3971cxqXQ,75000000
AyAawkWCjuVmBXo8fcBRHXAFG6ZWMXDjN5PL7JeDrmVJ,2000000000
DCWFNGtPhwdYdXX7fQegbrihWNU2tW6mF8FqS6nKbjJS,420000000
3ngHrC1qQCUtZ7THPhTsx1nSJukFRE4AJcY4He5aEB9c,12227953865
Ekr1WepqwUPKmrPN6E6qvuqqygHh2PmuUar8KT77eukM,75000000
GtixujfS6r2vZHTxHSoHTswaYUKU8oYS9qxR94kFTz9t,75000000
5FEjMLuTGUtq3p7x7ZN31rKPUYhbBrToz9Pbh7vzYC5a,420000000
B8hYKKncQj1vLTv99FN82MXp5fzocqyjKDGfz6yx8Sk5,75000000
3PFStW8XA8keX67HfdqMVYKC1cJUGDZ8xcoLH1YVyCAs,75000000
Ey2HCyBqk5G6G7EpdCc2hCVppTHitWfCNzpPehmNUsLe,1855585175
oN2khM7aUqRHZYaztVNrnE9mQRrmnXD6kJMWyoJDAqS,19887918705
CC2EvoDTzwuLW4v5nJJgQErh8LTVNFzDdAUwDCZByoC1,420000000
5BH5XuZeYdRE8bTnyPsb8zsqCuRb98vCpbWYov8H3Mh,420000000
6Qv4gNoafPb39icG7Bodb7zWhty893en9QxEHUgxbx4g,75000000
4hFARHG8aeUkCnDV2rbLQy9YwgNMQ4VoztPUBVmCPyYf,75000000
DbgDwfbNwwDhf3HYTYhEoAnTXF6SZsy3qroYcAgCWpZe,12909327828
H7npCpVYmg9Fgt4omPAxUdmtvGwt2fgthfuGnN9eMZeP,7131658680
HrZbE7ZFsJuDuptvRL9MqK55wViod2mqSX9PtGBJ6tEQ,75000000
HB91Wpfxqm8rTtUkV4SMbACbQswvH74PxvVSXfjxc9ec,2000000000
72C9nqRuHdeCJXsaPa7Tmm7zzEgvMgNEea5fSB1nvHzv,75000000
91ebdF9pLrLpDzCFj7aezFfmS1BJnSDXE86Bq9H1d9ku,75000000
5udg8BN7MDijSZMFj2vp2eGnV9tDzNy5RpQredNU9zeF,75000000
EJQnYK7hDRJArKQChL5PFoAuujPo4eLZPG1uQt7YyxDs,2500000000
DYCwCoJz7jgBNwaMz2hExyMn8V3fLobnHj2USJvncgR3,232465115
5x8eRtnjigMqs37iytCSeUzBvQ6tJXXqd7uYYm2kevgi,75000000
HiXooDkJ1GgStohgT7KxVC5KgkmK4kgYbA1Ctj7YDrTi,4399909919
EtcyKQPHSg3ASyjAC7p5DCcLUJrPzpdBBP7qkMfav2PT,2500000000
AsRXNNyjiv13RXN2Af7NXXDuyZERyPy2qKBiu5mk3riH,420000000
CAdTkCuZhtFu9jd1WyBNqHqDYyVfttAWRGkaxXRgwGcs,82119504430
BPuVncPmsM9Lf33GphZL93V72iuHFvNk2xHainBfnf6H,75000000
915hPc85ehdHuLBFP4L9xGx91LkZqhwsCN7V7TJti7i6,75000000
5XqJ3M5rRVK121wXfJWZJqr1NdhGGDwbsw1nDhpAJZTA,75000000
3XaJY2tYJMPFxWfnJsXnpjS33SdRtp3JFx2uUvd5hTF7,75000000
FNqRfpR68xvJ8cL5SgU7YZYSKndVXymXXmCu34NytpHH,75000000
Bus1DbGmRfDrqvpkw6FPXDjMTDxtQRYZPZjMyALmQ9JX,2224990157
HpfZgAXG5r2jV9TkL9eV7vQUq1J3nbKADsrAJTm8wFha,75000000
Ae5m7k2HTMwsbVuAm3wDp3JKyFkQZTiZVwkK6BCwEUkf,20264085974
4Gy3HeHDvrGbP4UUYHcbhq1qxKkQySdrbV76WQHPcbXx,4099474581
DHHqXpByDk4truDiCfPjumTE2nEMm2giEEoN93MwTSRV,1000000
57QyFBA6EGF5mx7FMdH1UeDy5gDgWuYCqXYrSdGwc9Jd,1000000000
66c8L1zdz3SGedQaVtNhyZE1MouMkU4eoM4zu5wwvPsc,75000000
9pYnit5ZoaAgxm3F75UWCBTrNxwPHq6NLBEPiWCfzoFH,2422290767
HH1P8geT7bfUksLR1UXjRKjbtqovZpDLFuup5yhkv2Ss,75000000
8gMGzqpCgUTkGs2R94mT9R51TNysaVsoY7FmN86vfSk1,56047363
45ruCyfdRkWpRNGEqWzjCiXRHkZs8WXCLQ67Pnpye7Hp,24294815
JC9bEXVXdsFg1veWZ8qYsydgf8GwxFjxWHrtdZbcJUcV,420000000
4VNz2txLqQEgZ1rHzySmypVw8w1K5vsKgu6GVXnHggkD,11
3pYk3qt6nieg6h7fAvXdxUcySfnMYaPkvxpgmVZ8cw8y,75000000
wFY3ZkhF7RbgJA93JBjB4zAScipS5EbTivauZ3TN8tX,75000000
C4GH5mYdR3RFSzvoRZs2GB1Tpyguu5fTYv9Wody4tj3B,75000000
4hem4DPhUmS4aDH2ohuLbSkhAjBb89vf2SKYEDMjAy1L,125496144
HvZNhgKhiUFBdzpV8MqEguwRrydyYzYDW6xLwKDcLcFW,75000000
4SLJQwCrribdyeyBVi1FSx288odpGLfPahySFRRNh8CW,75000000
7KVtVzQXqyQiWQPU48Cs3ZwVsccVDtoJpXPzqbVKvjFh,1135298407
6nb7mJ3PLi3tgdAgJh38ej16Gbsd4VBtFpCDQCGmdWLn,75000000
DxeTqnEZa9yvzCdp6SvA64hCaFWS7qQTpvHS873m7aMo,420000000
CJQ1TP1zgtQf7PBczRVChSidpbC9TvhMksZfsT3CbLwe,356785715
BTuGmSqTj65Vd7qTHdxNVUepNBWnSiqDfYJ6sQz3ebY2,75000000
Gj5jqxELW2Vdism5psToXib6aXKREXcLEYYZ5417QFS3,44356279
2m4BXv5d5wLHaaFRBf9Jktdcgtbaqe71B48ijNKJAntv,420000000
8tmkJyd8XqYn8YBX1B2Vp6Ui8dVDKmwtmnL6tkVAUnkV,75000000
4ZgzZorkUYRHnZJXdFXdpAzjnkAiKjCcHsmUbq3MhPyE,75000000
Gj3UquAdB2Zce3QsgJbThCa8YgmAPLyUETzddXFQDyvS,75000000
2piDyGUFDy4X1QSi78UFfiLM8jhcFsq311BWy8oQtLZh,8267585261
BaKoDbyq4ndsiWssGS3SqNoDhU3eXQnMwPgFgeZyVLdC,420000000
AD18R7pWdFJB8kAEP3YjwJE3PJRDMXq7xBHSHHj9GKv9,968601641
BEEH3D6Y2tnyjpBFugCDSttrMo6VL3TF6qoN7SHcYxGq,75000000
4okv9qY6eesaa62R7hYDmx7NYXG7dXfmeFXvm4sFek14,420000000
47BjXnPWcMGgk1cdVKRD7U2PWKcc534GMdSACiLqqUAe,420000000
5a8yFLEthbUWfpn6N2ybmxx9GsNHA4yMyUhnHPe7USjn,75000000
Aqg9q2bYYnULfSY7cCtsBy1Uhh67bRiNW6osH1uBepHa,420000000
HGpSy5qAGXV8iQS2r3LCPRKUQSziBka4FXVkN75T4LM1,75000000
5H3yxCjbgLxB65DvDAJDVhhajzitFAxT9gvShcDmBJgD,1407355890
BVPPytYZVDmQ7Kzt4Q1F7PqueehBow8Tm9j4Bk5HbEqa,420000000
A32qzkjjiWeqKSKLEv3UpDXaTeuVRHG436jGpHi1uYs2,138392041
72yBBeuiMBR5PvYy7ZCbNa91eE27mz2zVZcvWKmyfm4w,1000000
B3eDVwhoFogHjGNvssUjS5G88HP4L44T3N7U6zqFmFu2,1000000
4rDuktWyscPBEBV8S92dyZ9SjnMp15fwK2PrD5J24kCA,774257698
95WhpsABgYjYv6JPwZ96NxFw9BX9kxmoekodQA5PJyTX,75000000
8nmM1ZacjPsSq7k9EkHpE76yQTxj6bbGsELNPhnXvXW3,75000000
HFeaFvxpBUYXuUXfsekLpRRETHsApbxipULLUxGCUzma,75000000
HUJ6VYwhb7CWwuFmJ8wnbjaiEUq8af9iEUnBHGA69e9j,894690969
ED4deWjZSzEYA8r9FGS5raLgWnkadyfHUQzQUtHHsEHe,5000524335
4nCZS1NpJkZsxM9gFnkQPf1xjraf7DVmbaC5uF2Jugxx,1185176265
79ct6rGVWMYU6YmCXqRuyVRwAmjv9dj7nNdZWRkFLMUX,197352100
FqQdffiNxH4FMzrR9nLdbyByhi4V4qJh2NoGGjt1EqJ2,433824971
HDRTXdobQMnLwYZ7p6q4ZJsdPqGFB7XcbHLk7VVB3czz,164361619
6igSWirbdwRRyehrjTKzbcTr3h9dsggTLrrXJA5PHN2A,75000000
3ZHfHMPKRDmoYCJarAB7bndMz3fGEK5qQT4UqLawPUQ7,325461203
4UGTC3wnY6MfrwEbwD4HX5TtKxnPnJeUpCq5V3SCCXaA,75000000
AghYG4maohKb82k8YntuvozUhkAY38XSmburr6LW16ti,75000000
9jpyRF29A9cyTXqgtUGVySyUvMCB4wBQqwqmhtAwtFSc,118585729373
CaYpQk4yTLBdN2aDLXaSistnkxi7hsbWcV7ExMQs6jVp,1530038
