owner,balance
HT8viQiYtSMhf2cZCstGTkrZYvcCPe5dgQZv2T67eA2w,8975457
3wPdr6tTYT98eWYWXv2twzymA1xpjyPptEveH7vxQ2ED,1188952815
BzuPJLF24qugpUU8ekgXsiZytJt8GbFPok2etZgvAnrL,3
H2SmSsAGcPeHhQaCWxLkhmK16nsKPUyEwao4ruZRi5X5,1187409699
7wwSwGjLDZmhGnYeTogH7MjgdAw1JqxSqD7FKViCuyxH,7425
6UH4BK7dc2rJw9956yaMNeYt4MzQwVntrJgzcu3kjULA,1141601797
3i1K9kbJKt4Yd7snLxHaeorcECmzXjcf8LXLe2mZbBji,1154487871
6PLuWDQDrFmoJ2YFzYmKBtZjdKG3NxivingkRtt2T7S9,869582
EThAKdSL2kUi6P2BuogAV2VZE1Ky9d3KZfs8r1S687qB,2
2bmzPvVzYsY33ZqFMrgFTvMjaAVXy3drY9TdHW2JRLif,966901
8FPoaUuPrLvscEz3ndZDHCPYaxfyXVvDXLePBXPCa6Rw,465500
EceUZ2J2J5aygyaovf3Ve9fLpysC96joSDDG7cYFCsie,3097789
EWRAM4foRG7cwPNy5LEcTaibe7y18vLmkJHZetYYBfb,337380
5ZhQ1dQzU8yGst7ZHJimpfrcaNRAzV4kfsFHPDbF5xff,1168901276
4fa4eNRdrwJDuzE1yNF7XN4RvFe65qMJpdyUq5Ukk5RW,1165084233
FV1Fd2UuxPNbLRKSjxxDwcJwHXFmXNCdviZqDeuqejTo,93100
5xgFCAn9fCNeCWnGUK5wQPUvc56G2G8LgHN5s7g6PkjQ,1165084233
bBrfW1jmPMyk9P24Dny3WarWs2VsXuPLk4zUT2nHEnp,1769910
CXFZPgC4Hyv8QE2hzLVZiLfw7UxYNXpfnnj8VcaAMBtH,149124898
DAB3qh3Zp4NMBJorLYRDvrVMD61hZzrSh3FqcbkDMN5r,583592927
GJLne86U12otNj1m1Lrtpum5AtLaf7YxFqznde8UqZsS,1167138099
7fqF1J6wGpyzfGCoMCUTdZtuRoPWmBpQktRVMW5Lg7o7,1166879640
44nBZ9Ac8a4YJ5W6vxd6hM9q9fpKGvUX7XtJemhSMigU,570506269
3AWVDzRdscWTnJFdoQVNoMxvieWa27PM1ZMi5ACyoG1T,2
HMaiLinV1w9VDR3oDAhPsJbhCr41zU3ZbX9eKm8Cu8k6,1
GeXZAnGvhatYbzCWAj2Gb1Zu6JiRk7sK8wp1nga9zKGT,278069528
9FeTCoVaQ4wUvDMF4XkEw21Gk7rJ4Du9fiCFqs1FPr71,1164338281
CoHpuYuoLFZNLtP7h1cK4uWWCfMCrdhu3XWHUZxNeGBY,7958962
9NcvEKj7no82HpNoTFHbTVNEp1PSoEu9LQb5q6cp5Wmp,6
5pS6sZBXTwhgF8qHpgLSJHbWReYsWHMckmHTbpF4i4RQ,1168803574
Ayv1gkTzYB2kv4qkiYgBYdDvMr1wJRsVSwUhrjNeuSkg,1167753794
413fPgcXn1FzZ1NVPj2grrM55mfikCTk7xQF8k97bdKR,914029
BEJaYvC6RAcmhumZfbv6v59BrSnoTcEng9wYKc4kGSTJ,1539026686
FppWgzgekh7GWQrSCtqFPcZQAKRxtSLCBZK3B9dApCsb,1168201224
Eev3kDcE8xqBNEVYr9ezse7Hp34GUk6EL2TLHmvBQeFw,354140
Fuahk8CU5abRnPjVXi6y9GCANfhDSw9yJri2yzSPRsAp,1162466513
J9E96qUBSq9hXqZY3kr9dRLzmGDBwieTRPRDruiw9raJ,93100
CMkKezeHoRWVjuEhALYh7YpyCmmtWsSSj88NZiPsYmV2,1163362722
GmrdrS4RvoLY8NLcq7eajncxNAWtx9S8RX4Lcw2EyJ5Y,1
G26aGshT718ehamgMLTBcPWJXvoHh46BxfDmHf5VjL8m,1167712622
2Dwy7Wm6JeGTiuNkmQqdB26xgZGGfsuvTgCrig8V1r5W,1162715056
8XzN8yYWemnjQewJkaTXG4W1TXURJbEo94PWfZiQnGQ3,1168877475
GqftbUJmVgzwHjAV8MgzAc8v7a13fkZ3phpRJrKLoDXT,1122540
D6mZnLcC5x6m5UjqpmwesEY6t35wc5iBGBhcPbsubu45,1167134699
BjqvKChL6sJ3JeSKdC6RLyJjjvDrWcMXwvWxSye2uBzj,1167365147
33HVoPGAtkDAcpQcbsdgEdJz5gnfP7BN2nCKFmT5iB8J,1166486892
BgYovMXSUtNcBpXyfavrxfPT71BA66xk74Y4sJ4tnmgi,3821244
