owner,RADY,RETARDIO,Sensei
2DMHkJy3krNmQaJ8fdavHwLjvy8MyMAYbfqY7L8wVUYx,16,0,0
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,403,342,161
JCXRAgxVnBc8pWuxAmbwveCBuGNCKuDhj7zGAwx3ZKhJ,1,0,0
DaWJQM7gwd6SjqxM4bpLvmyyP4GVHrtEYdvwSRrviZy6,2,0,0
7kd6AMqUj51BqU5mBmibD2uXaLqKnyHGqf2VsRW7ANY,5,0,0
YunoBYzisy4LQR3SdZ1gkgynzLYkyJHnYQgSEZ97UdM,6,0,0
7hMndX9WkxW4bVpgadJFjJYMfWNbZuLFLLMv17UUCKdk,28,0,0
GgrKViCKnHkpedGj6idz8Wk6tQEsi3rTtk3VJtjrmRsn,5,0,0
vZLxC9ZgAujFSVXvcCDeqBzZemgbA8YKLMee5CHHJzs,2,0,0
Bq7Xkmom2Jat8ojb1ye3cEtWSoytCHpMtRvsF4qKqCnW,2,0,0
8bttEf9AuAngESsTtsnAbBdiNtiUTs4zriCyoKKP8A3T,1,0,0
G56oRVwSqRnifFFoVUCyRcM3ERFWXyvyoiXC8pupbbSu,2,0,0
BFmK5vo2GMX57kubaMVwxT4awnH1AkfonEdEUz3tTvbu,5,0,0
CRMh9ozJgpdawmBaCDvW8FKAiUL14J1g9VKsovB66AWE,12,0,0
575nCq2C4CGfUp65AwziHjZBQBtWFjtRgaXwC18UVh77,1,0,0
6QGJkBSuyQ6MzscxrrUJHy2bGk63tK69Sn5MB3eo8ugP,3,0,1
5E2qYNYSB76VWdbsNh2dRno3JHWSp3XqAcRbhovWAv2d,183,0,0
7EgHYwa5PHYcej4oVh5dv68S6FmuvAcQsbU3qBS8a4vU,1,0,0
BzQEXz8yG2CjdgCCf1oapcTLP9LxvqbdP3Rkt3oPAUE3,21,0,0
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,93,239,0
Hn1hPKxr65RSXYLqBbMArCsvpwvjYNjHkNnyWmhTfQH5,278,0,0
GiBoMhSi8npv3ryqjYs6CcBEKzGf914FQfAFLazYvzD2,11,0,0
21NmJNCBSjWAPKnSWC9G7VzcVu1qgDhGrVvN9d1SAvUf,20,0,0
7Qbm84vi9yhDPmt8DyeojGgfJSfvidxiqGLABCoQSSwp,4,0,0
GZeEFdZaweuhLHKzkAmkpxg4ZzrKUf81ejMybSRxKQUf,9,0,0
BVWFyh9x8cNVDQHVW3hJrhBCein1uojLJRz5srRWn3CC,1,0,0
