owner,Sensei,FRG
D7fWxTd2dPZ94AkQKMLsoy8ZF3niwuq4YEiSHRJ2vTNH,2,0
5TrmWTKmjNYP989qHxAvJRhtmG3gKhArZhsbHdvfcLs,1,0
8ASSeM87dQ59iigFDnvVxVszS1QXS3gHsp7DfeR3UvhV,1,0
9CMnpG5MVmR6rkJ7rGHuuKvkejN8iC7G3VeJFNs4KwdJ,16,0
AykVDL2en6LqHtZaF1wczzCJ5g2F7bAH3GBYhZUTDZ1j,3,0
B7GyXqqDmQdBgzsofnyB1zVnX9J3cmBQ4REYWDyupcwT,9,0
HhNmJyW5Z3FJ2QfDo9YgVQPwp93KU6omHo7ogAGsc9uV,1,0
73sYnq7WwAzqi1eupwJ5pk1G47Sq96HVaBjXug4w8pxt,1,0
48AyttxxioDKhZJq7qqEXYPrD2Dgy1TXwmWKMpNhqw8k,6,0
9wAojhMgL2vj2oWiJzNUpTCZRUJKNgdxBmTKaSeF972Q,6,0
HzmMkvhsDfbauM9kdnkRJMu7DiaLntgNRqktCqCtZEpd,3,0
ALihu4tdK2uQ8uyEPEsG7rBTCW4s21ZyCmiccjyaGp74,1,0
GGDDDvu4AMTY7aF4k4q2KYTRPsNMBtxvb8uR5zxo3Fjt,1,0
481YMJ8kZMnzWZHaydWa85NJPv9Vey4rakvU7EjykDaA,2,0
3MQKMW14YrqpgDC2y8xdymEgvGBd8HGjGvmEsXEQdpJe,2,0
BoHKqVX6PaeVtHsSnPDcLu6YcLCm5hmcJkHhy5LFhEce,3,0
BKkhc5W7gkNXCW98CYBeFUD8Kb5yK5ZATRaPHQqr4dMG,12,0
66NLkL3fLVHm5AYfLkR6h35HDiPhn1EzfMCKcFnJqhkQ,3,0
7bSrmPXYSg73BiDkhoDs7DHRTJ8crhWPHkymVboSkkd4,14,0
2vexQpkDWzM3pDwmJvSawe6uoJNJJccW5fS44cdGJLvJ,1,0
HPG7ZWRSC7HbE9VenzdLEjejkimgUerQkkQhyUaQAX2L,9,0
5rZPqqpmzEYEgQTj41jESrBPfxcmVh3k3M8s5Z7ZzibT,13,0
HyXpPujChNbeQz3SRLPnrSsvnpdFP8zzTNSLhEtmkcA2,3,0
