owner,DGOD,SMB,FRG,RETARDIO
CYwdd8WnXCHrgyxQVnRcTPtyzLQoXAcgtXdYLnUtUQco,3,0,0,0
HDKXtYrMrSxZ9rXrSYnVX52AWVvtsojNauCfxcooMdJb,166,12,0,0
CqA42zXaf5zXk7EW7jtCLfL2uH1efuB9GtTfjfJ2hzoq,6,0,0,0
ESKAnQfbdU8THQhbXXmzJyQWCVfHVCWZBYjA2RjxSG8v,1,0,0,0
4rhfPZRBcZkoSzStSCFLo6KmLiX2eBAMigZh2bBLPYMw,10,0,0,0
J5JmBJo7aVuHHu29rt3QKh6nThVJ1xgLh6f4KA1aWGTj,16,0,0,0
H7ivexjsSUjhgbk8dsBzSG4uoyRWUprRR7MKfP1h95Sn,6,0,0,0
ApsPgj82WLy1xCjsnu8AJ53rrTQ8C4FzRtL2EtnzQY3Z,2,0,0,0
9NzJcGVsFuRAw1jQzk4G7nG6EBm1RmhnttZ2T27rCKLv,2,0,0,0
4XPRD55epzsFEv7HSphhFWCYPV8ZjhiMb68FEQfsydm1,1,0,0,0
9qM7JWXmXYvJpebvZHadfYCsBDduuvkMCLXZPHS9CWkL,1,0,0,0
6jRCQUSLAVdFRKBamyGuXu2uZduqNwniytWoxh2HYaD7,1,0,0,0
8Q2LyvqZEVAKQ3e62FetL2JcsBFB4hjSFMSWEQx71BMq,1,0,0,0
FtR2ZFqNVNz2H3oHwgQT4WY9Ho8YwjhJqLdKrBiq2sZf,3,0,0,0
DR5dHxndpMPkn7zdLhmxmK3bu5K6g5oEnQpgxcuRyX1k,1,0,0,0
6R8m49DhWU9KgC7o9ZECmJSB6qZgTgtoMGKAvbu8MoJN,2,0,0,0
BRv3fB6cnKSx51ngD5J9Pa5WHfWd9AgA3rKSyP93mErv,18,8,0,0
CAyoLzAtDMy8Fyqr9MGcBhHmEnyhABVCUhbe2M2wUP9r,4,0,0,0
ArczY4LZP36Fz7dE3cyJagBX4DZksW8jJfJ7g8MZwVmk,1,0,0,0
5StMtrxfB78yvWL93SrKiNPccgYW34zdGNLsY7b3sR9C,2,0,0,0
3jvJpnPnHTU7317ykJiYQh52a6u35y5D4wxomWg3RmoG,4,0,0,0
AdfU7DKw8gs4wGHnYBrE9S2gAmjTurjCJ7wA6zJ7iT2P,2,0,0,0
2HuYYV3pahBH4tWnGDSUrkPQNm3Pfv6jN5oLq3T43MNJ,10,0,0,0
3v6i8ZVrk7RP1o2aMQ3n2FJnZJix6AeCiP36zLfAX6nm,35,0,0,0
73Bb1tKAxPuoJBi9KcTYTKqD1Z4YCBdheiSqdzGWt2ay,3,0,0,0
Dmi7wGzNzqk6FLHBesGJJdVEno3CQS5CpsND8sAsJayG,1,0,0,0
39uGfjkckNTNEVDudHPi1RwSWozphUXzTWeYT5vN7o4C,1,0,0,0
HTLc6ZLjqUGiH1e85eU7JZawnZpN8vypmCQ1c7edWr7U,35,0,0,0
Ay44Mmhtx8DrvCbhMsd7kqCZYn4BC3ubJss9WNfMmKHo,1,0,0,0
4ZHC8xtQabCNyuq3YNepkmawWncjG26fVugoEFitBJiJ,6,0,0,0
6vswEQdG8kX5DSn5waivDwDvpRSvPkf8h74TbpNSasmu,1,0,0,0
AZvfhSpKi4mH8hojmvZHmfj38cxVqc9RnKMJJQnph4tk,1,0,0,0
DRmyC9TWZrM6uNbBH1Jq73yD3zZNnLUDepMA9LoEN1D2,4,0,0,0
B876CK5nsaqUQz6koKATs8uhGRev5qGVuCFat4Sif1nY,2,0,0,0
Dc91Qjm6QZx3WobxfYLDH8RSfenNtCpgtEE3VibVFnVE,1,0,0,0
5Ni9FAjRg8FxH3Zb6azeYVtrBYvJHjZLJuuP4eW6cZ3a,1,0,0,0
3pTDxxvuaiMyntvmuLFuFMXBgHGnJVAv6XDA8wnkVtWN,12,0,0,0
CWPuvUPZEmjoYe1vVyGDNbfF3N2QTgi6MBZCYEk7RPaT,5,0,0,0
2E9uDpSLoeG3Aarie8XNcVw4WH4z48sqy26dNRP1Mu6i,1,0,0,0
2F3pCR6Ju413NwpsC1knkXUu5WEZCYCJfN21yGcWwUZU,1,0,0,0
GVyNgrNoQAfhuFQYodbXuf6UCnGXy1dekgHp972uCiPK,2,0,0,0
GDgA5RCMvVtWVPGuAqtcsztJbuVLfgntz1KqnzvZ9KFV,1,0,0,0
GyJTkay9PDNE8MYdww8RBRPj7MXZmGMSJScpfHtvPKAc,1,0,0,0
2YsoiJSZQkbGK8aQzRfW6MnzsHVoqftn1HJjY75hufMz,9,0,0,0
HKd13P9YX7gKKSfsiQgvfbmXPAQ5TsywcZK9mWLWLyfR,2,0,2,0
8bhQtYwsb41JXdSzTsAh9BTUeZ8RET7qr2NubcgrviSJ,1,0,0,0
DMZCWKDHiNatSyhCiR3AjAkgooTeTCLARwRJTuMNntjX,9,0,0,0
8jUkMtSEdxLd5k2qczcYZTSeCVndFNga6L7jSpym68N5,1,5,0,0
6mvhC3zf2ftgiEGYZGN5GU6fQy8Y8MnXZshX3YyALcYp,1,0,0,0
6Jm4faF2ySd3jTrum824GhcAEDTjakZSSpmvgqKZJa6r,5,0,0,0
PuTKt1JYYPdXXXAqV61cS8cj6SS845snRqW4JGni1R2,1,0,0,0
2r7DPceMsiJ55MGjn6BMMbj9BE7kgU1zpvRrptwYNvJ6,14,0,0,0
3sVQoWFq5iMFGG65fRoWFE1G5SBhNPhmiv5JGzCNMeo1,3,0,0,0
QFDzaVq6pfJYe6hCUAkw3ybotA7RqEAfssn766SiXLb,3,1,0,0
7ykKiLobipR7ha6zwA1aaFiGsFpFfKX5GVAmbsLNHzcy,1,0,0,0
2gcYhe4TnVmjts9qdx4Sfi63cyEn9UVVEVgUVJgrbx6o,2,0,0,0
FCUeSAanA7atozwL45cdWKYmAV3j3mGko7vQadRX4mmk,30,0,0,0
Nd4G68mVaDNyY5WzwBYBT9FR8Tb7UxPsgL6uoQMb5gN,8,4,0,0
98UKsjwSKvpkhugEe2FVDHv3d2Y8VF7hrxwuzhtETswp,1,0,0,0
7NLchXTSniW5X6QfUcBeJzrUudNquSZXpsvvDeLK5upS,14,0,0,0
5Ww45J95EEefbZJk9b5JrzpkkfTZfCoDABKM6zGtAA6d,25,0,0,0
2rCEgytibFM5VF8N4X9vUr5YY7KQtuWbbBntFm9J7ccW,9,0,0,0
7KHXZap2mrcm9NJGMEiGNXTzX2QG8auh2et6bYScmk7,6,0,0,0
4qyAoBDv2oEuSfMxgWUJKfmbYRUJG4DSg9wkS1iBvAa1,1,0,22,0
32kRoQXxpFpuXo3VPz2rQKFHJKbtGMFmspuUkeQbVHNh,1,0,0,0
8T8rEoqoYJemDfG13N4cHZqv9AR49sG8C3ohhfhqVznF,6,0,0,0
Cwe6Fet5WHzfHgLu4a4rNK1Zm91PFQ1PFy85RaEzdKxN,2,0,0,0
D1YvNACguCj7Mit6pFh2gEL8YkpHwHu8zVo4WmpXtDnu,1,0,0,0
FWQSrARAfLUwE2hJ3fv6r8XGGeLoKWW2q2oTSos2SvNR,13,0,0,0
3rr4qXdSyQQ9mCJsjyu9pVr2eDEtjBTdaA7ktBRLAa2Q,2,0,0,0
9b7qnD9o6uA1HC9K5KN7m3knEZT7svNPmFuk75hrAFmC,27,0,0,0
B8kdogV1a39GPVpSiPjPdUGfFf8nx6EVexRMvdeiXB64,1,0,0,1
9J2DuFYBBzZuhWo2cWw3yRDRzMJeQA5aLVGhA1KcmSZn,2,0,0,0
AKrQ8Snc1AzKdzw7eLLiXp3ReKVKUtVFozkHGeNu6jJy,2,0,0,0
AMMs9i2szBAZ9TuoijDCifzxXVJFsPTFjsca2sFriKiM,44,0,0,0
92X1esJZwvhvcD9M5aztSwrYnW4h13yF3FVbQ7eFraXa,1,0,0,0
EUrxiW34C9mpULNufCQJ2L5SPQfqtFozsFnJtjFWFCih,2,0,0,0
CSWtZJi4HK3dcXBMtCk86GBHgVVBnaVotDWuFsjwHdTr,3,0,0,0
4PaeHjgX7nKUYpRhE7eb2TChkxQYDwKXs8wgYsJ7xxUV,5,0,0,0
2GYC1QWLJZZFbZQjjSQjS9Gzp3npxhBYQJdFB7uHW11S,1,0,0,0
2LTVuCB4tWNVKqopsRZYBFpjEASefRH2KJx9xsxdki7U,1,0,0,0
FecnPg6NGo2tBcBZmhZxEcB7EQftJzRt7hdH272FUrrL,1,0,0,0
F5RZkyaxmLG14eWMy1Zu7FtBZLauNb6xKcWnUpEx9yf9,3,0,0,0
EXEHKrDSsytJnpZaehtCNcK4E3X3sSYFyAbigtg2rAGB,5,0,0,0
s9wQPAaC8qyov9qmKuWx1wVmTxPQVQYv7Wo6o8JvcAE,1,0,0,0
GuUduxukTR2N2R8Ez7SFBPq37mtiNqxE8PexQyopGs94,1,0,0,0
